Question,Command,Class
How much agricultural land is present in my county land use classification raster?,gdalinfo -stats agricultural_land.tif,Raster
Merge our daytime and nighttime temperature maps to create a 24-hour temperature profile.,"gdal_calc.py -A day_temp.tif -B night_temp.tif --outfile=daily_temp.tif --calc=""A+B""",Raster
The colors in our flood depth map aren't clear enough. Can you enhance the contrast?,gdal_translate -scale flood_depth.tif enhanced_flood_depth.tif,Raster
Where are the data voids in our coastal bathymetry survey?,gdalinfo coastal_depth.tif,Raster
Make our archaeological site map clearer by increasing its resolution by 50%.,gdal_translate -outsize 150% 150% archaeology.tif clear_archaeology.tif,Raster
I just need to extract the reservoir area from our water resources map.,gdalwarp -te 345000 6789000 348000 6792000 water_resources.tif reservoir.tif,Raster
Make sure our wildlife habitat map aligns correctly with actual GPS coordinates.,gdalwarp -s_srs EPSG:4326 habitat.tif georeferenced_habitat.tif,Raster
What's the highest and lowest elevation in our mountain bike trail map?,gdalinfo -stats trail_dem.tif,Raster
Incorporate the latest satellite data into our forest fire risk assessment map.,gdalwarp -s_srs EPSG:4326 satellite_image.tif updated_fire_risk.tif,Raster
Our wetland map is too detailed for the regional overview. Reduce it to 25% of its original size.,gdal_translate -outsize 25% 25% wetland.tif regional_wetland.tif,Raster
Split our watershed map into equal sections for the field survey teams.,gdalwarp -cutline survey_grids.shp -crop_to_cutline watershed.tif team_sections.tif,Raster
Combine our 2023 and 2024 land use maps into a single dataset for the change detection analysis.,ogr2ogr land_use_combined.shp land_use_2023.shp && ogr2ogr -update -append land_use_combined.shp land_use_2024.shp,Vector
Convert our trail network shapefile to GeoJSON format for the mobile hiking app.,ogr2ogr -f GeoJSON trail_network.json trail_network.shp,Vector
Create a 10-meter safety buffer around all power lines for the emergency response plan.,"ogr2ogr -dialect SQLite -sql ""SELECT ST_Buffer(geometry, 10) FROM power_lines"" safety_buffer.shp power_lines.shp",Vector
Extract only the roads within our county for the local transportation plan update.,ogr2ogr -clipsrc county_boundary.shp county_roads.shp regional_roads.shp,Vector
Trim my vegetation survey to match the study area boundary for the environmental impact report.,ogr2ogr -clipdst study_area.shp study_vegetation.shp vegetation_survey.shp,Vector
I need to combine these overlapping neighborhood areas into a single boundary. Can you do this?,"ogr2ogr -dialect SQLite -sql ""SELECT ST_Union(geometry) FROM input3"" dissolved.shp input3.shp",vector
Convert this map to regular latitude-longitude format.,gdalwarp -t_srs EPSG:4326 input.tif output.tif,Raster
"Cut out just the part of the image from pixel 100,200 with size 500x500.",gdal_translate -srcwin 100 200 500 500 input.tif output.tif,Raster
Make this blurry satellite image look sharper.,gdalwarp -r near input.tif output.tif,Raster
"Mark all the zero values in my map as ""no data"".",gdal_translate -a_nodata 0 input.tif output.tif,Raster
Convert my classified land cover raster to shapes I can measure.,"gdal_polygonize.py input.tif -f ""ESRI Shapefile"" output.shp",Raster
Draw elevation lines every 10 meters on my mountain_dem.tif.,gdal_contour -a elev input.tif output.shp -i 10,Raster
Turn my water depth map into shapes for the boat navigation app.,"gdal_polygonize.py input.tif -f ""GeoJSON"" output.geojson",Raster
What version is my file?,"gdalinfo input.tif | grep ""Version""",Metadata
How many shapes are in my file?,"ogrinfo -so input.shp | grep ""Feature Count""",Metadata
What's the highest point in my file?,"gdalinfo input.tif | grep ""Maximum""",Metadata
What's the lowest point in my file?,"gdalinfo input.tif | grep ""Minimum""",Metadata
Does my file have a title?,"gdalinfo input.tif | grep ""Title""",Metadata
What's the average number in my file?,"gdalinfo -stats input.tif | grep ""Mean""",Metadata
How many colors does my file have?,"gdalinfo input.tif | grep ""Color Table""",Metadata
What's the middle number in my file?,"gdalinfo -stats input.tif | grep ""Median""",Metadata
